,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
92,frozenset({'shopping bags'}),"frozenset({'rolls/buns', 'whole milk', 'other vegetables'})",0.16829143150333503,0.08209338122113904,0.02103642893791688,0.125,1.52265625
93,"frozenset({'rolls/buns', 'whole milk', 'other vegetables'})",frozenset({'shopping bags'}),0.08209338122113904,0.16829143150333503,0.02103642893791688,0.25625,1.52265625
94,"frozenset({'rolls/buns', 'bottled water'})","frozenset({'whole milk', 'other vegetables'})",0.0792714212416624,0.1913801949717804,0.023088763468445357,0.2912621359223301,1.5219032249668132
95,"frozenset({'whole milk', 'other vegetables'})","frozenset({'rolls/buns', 'bottled water'})",0.1913801949717804,0.0792714212416624,0.023088763468445357,0.12064343163538874,1.5219032249668132
96,frozenset({'canned beer'}),"frozenset({'rolls/buns', 'root vegetables'})",0.16521292970754234,0.09081580297588507,0.022832221652129298,0.13819875776397517,1.5217479032880656
97,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'canned beer'}),0.09081580297588507,0.16521292970754234,0.022832221652129298,0.2514124293785311,1.5217479032880654
98,"frozenset({'whole milk', 'tropical fruit'})","frozenset({'yogurt', 'other vegetables'})",0.11646998460749101,0.12031811185223192,0.02129297075423294,0.18281938325991193,1.5194668570301422
99,"frozenset({'yogurt', 'other vegetables'})","frozenset({'whole milk', 'tropical fruit'})",0.12031811185223192,0.11646998460749101,0.02129297075423294,0.1769722814498934,1.5194668570301422
100,"frozenset({'rolls/buns', 'newspapers'})",frozenset({'root vegetables'}),0.05720882503848127,0.23063109286813752,0.020010261672652643,0.34977578475336324,1.5166029020785428
101,frozenset({'root vegetables'}),"frozenset({'rolls/buns', 'newspapers'})",0.23063109286813752,0.05720882503848127,0.020010261672652643,0.0867630700778643,1.5166029020785428
102,"frozenset({'yogurt', 'tropical fruit'})",frozenset({'sausage'}),0.07567983581323756,0.2060030785017958,0.023601847101077475,0.311864406779661,1.513882263545602
