,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
43,frozenset({'pip fruit'}),"frozenset({'pastry', 'whole milk'})",0.17060030785017957,0.09107234479220112,0.024628014366341714,0.1443609022556391,1.5851233718098063,0.009091044308154503,1.062279245541628,0.4450619909268997
44,"frozenset({'other vegetables', 'soda'})","frozenset({'whole milk', 'bottled water'})",0.1241662390969728,0.11236531554643407,0.022062596203181118,0.17768595041322313,1.581323823540511,0.00811061756683579,1.0794351439083565,0.41973542594787544
45,"frozenset({'whole milk', 'bottled water'})","frozenset({'other vegetables', 'soda'})",0.11236531554643407,0.1241662390969728,0.022062596203181118,0.1963470319634703,1.581323823540511,0.00811061756683579,1.089815872941835,0.4141551283774701
46,"frozenset({'rolls/buns', 'whole milk'})","frozenset({'other vegetables', 'sausage'})",0.17855310415597742,0.09286813750641354,0.02616726526423807,0.14655172413793105,1.5780624880929703,0.009585371035283782,1.0629019802955155,0.44593452621523316
47,"frozenset({'other vegetables', 'sausage'})","frozenset({'rolls/buns', 'whole milk'})",0.09286813750641354,0.17855310415597742,0.02616726526423807,0.281767955801105,1.5780624880929701,0.009585371035283782,1.1437068319059085,0.4038128826191111
48,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'newspapers'}),0.09081580297588507,0.13981528989225245,0.020010261672652643,0.22033898305084748,1.5759290934535843,0.00731282385278159,1.1032803890512415,0.40195780517450946
49,frozenset({'newspapers'}),"frozenset({'rolls/buns', 'root vegetables'})",0.13981528989225245,0.09081580297588507,0.020010261672652643,0.14311926605504588,1.5759290934535843,0.00731282385278159,1.0610393734007337,0.42485489458349585
50,"frozenset({'rolls/buns', 'other vegetables'})","frozenset({'whole milk', 'shopping bags'})",0.14674191893278604,0.09132888660851719,0.02103642893791688,0.14335664335664336,1.5696747073151567,0.00763465286298824,1.060734442571282,0.42534062742912454
51,"frozenset({'whole milk', 'shopping bags'})","frozenset({'rolls/buns', 'other vegetables'})",0.09132888660851719,0.14674191893278604,0.02103642893791688,0.23033707865168537,1.5696747073151567,0.00763465286298824,1.1086126892698107,0.3994022944182011
52,frozenset({'whipped/sour cream'}),frozenset({'white bread'}),0.15469471523858389,0.0887634684453566,0.021549512570549,0.13930348258706468,1.569378540821902,0.007818273095805536,1.058719900823603,0.42920008671146764
53,frozenset({'white bread'}),frozenset({'whipped/sour cream'}),0.0887634684453566,0.15469471523858389,0.021549512570549,0.24277456647398843,1.569378540821902,0.007818273095805536,1.1163191928528624,0.3981459137709139
54,frozenset({'sausage'}),"frozenset({'rolls/buns', 'whole milk', 'soda'})",0.2060030785017958,0.06516162134427912,0.02103642893791688,0.1021170610211706,1.5671350545689882,0.007612934340827054,1.0411584161727376,0.4557862799952715
55,"frozenset({'rolls/buns', 'whole milk', 'soda'})",frozenset({'sausage'}),0.06516162134427912,0.2060030785017958,0.02103642893791688,0.3228346456692913,1.5671350545689882,0.007612934340827054,1.1725303375613016,0.38711814944713646
56,frozenset({'bottled water'}),"frozenset({'brown bread', 'whole milk'})",0.21369933299127758,0.06977937403796819,0.023345305284761416,0.1092436974789916,1.5655585763717252,0.008433499596298742,1.0443042876366206,0.45943029238298405
57,"frozenset({'brown bread', 'whole milk'})",frozenset({'bottled water'}),0.06977937403796819,0.21369933299127758,0.023345305284761416,0.33455882352941174,1.565558576371725,0.008433499596298742,1.1816231018031629,0.38834910263481687
58,"frozenset({'other vegetables', 'whole milk'})","frozenset({'rolls/buns', 'pastry'})",0.1913801949717804,0.06952283222165213,0.02077988712160082,0.10857908847184986,1.5617759662851318,0.007474593936030657,1.043813484455109,0.4448361220780847
59,"frozenset({'rolls/buns', 'pastry'})","frozenset({'other vegetables', 'whole milk'})",0.06952283222165213,0.1913801949717804,0.02077988712160082,0.29889298892988925,1.5617759662851316,0.007474593936030657,1.1533471955928816,0.3865793925531081
60,"frozenset({'other vegetables', 'bottled water'})","frozenset({'yogurt', 'whole milk'})",0.09389430477167779,0.15059004617752694,0.022062596203181118,0.2349726775956284,1.5603466733692666,0.007923048511807371,1.1103001539250898,0.3963299007084726
61,"frozenset({'yogurt', 'whole milk'})","frozenset({'other vegetables', 'bottled water'})",0.15059004617752694,0.09389430477167779,0.022062596203181118,0.1465076660988075,1.5603466733692666,0.007923048511807371,1.0616447966048406,0.4227838143468212
62,"frozenset({'yogurt', 'other vegetables', 'whole milk'})",frozenset({'sausage'}),0.07183170856849666,0.2060030785017958,0.023088763468445357,0.32142857142857145,1.5603095534602385,0.008291210369291221,1.1701007264184062,0.38689269700878326
63,frozenset({'sausage'}),"frozenset({'yogurt', 'other vegetables', 'whole milk'})",0.2060030785017958,0.07183170856849666,0.023088763468445357,0.112079701120797,1.5603095534602383,0.008291210369291221,1.0453283843190704,0.4522706874887812
64,"frozenset({'whole milk', 'other vegetables', 'root vegetables'})",frozenset({'yogurt'}),0.045407901487942534,0.28296562339661363,0.020010261672652643,0.44067796610169496,1.557355133149961,0.007161386520984964,1.281970552109085,0.3749095569842681
65,frozenset({'yogurt'}),"frozenset({'whole milk', 'other vegetables', 'root vegetables'})",0.28296562339661363,0.045407901487942534,0.020010261672652643,0.07071622846781506,1.5573551331499609,0.007161386520984964,1.0272342289354142,0.4991193064538324
